id,external_id,position_id,team_id,name,email,region,hire_date,source_system,mapping_basis,evidence_score,created_at,effective_start_date,effective_end_date
d7ca72f7-3fb3-4089-846a-92f2542eab0b,USR-2e84bd52,4567e5bc-c471-4660-ab1e-758cd553e562,f385bcfe-6ea8-475a-bc10-49f1ad02cbee,Robert Taylor,robert.taylor@techosolutions.com,West,2022-04-24,generated,rep-mirror,0.99,2026-05-24T20:07:05.076735+00:00,2024-05-24,
39be743d-d7f8-4ed8-9675-d7d09a67d5e3,USR-f2c0b9d2,2ecdaa30-8a26-4eac-bc3f-c6a825f6ca6f,bda2d4e6-b9d3-45c5-a9d8-51aa37ef8f80,Penny Salas,penny.salas@techosolutions.com,EMEA,2021-05-09,generated,rep-mirror,0.99,2026-05-24T20:07:05.076746+00:00,2024-05-24,
4876b50c-1aa3-4c63-aa3a-5ef7b8d4a793,USR-bd4bb10e,2ecdaa30-8a26-4eac-bc3f-c6a825f6ca6f,3c6aab70-950d-4e36-98b6-3775b2e001d8,Kathy Morris,kathy.morris@techosolutions.com,Central,2020-07-23,generated,rep-mirror,0.99,2026-05-24T20:07:05.076756+00:00,2024-05-24,
57e5d27b-5b9e-4890-991e-0045499d5172,USR-7526c649,2ecdaa30-8a26-4eac-bc3f-c6a825f6ca6f,e46d7695-d3e2-4972-ae2b-80ee9eff3789,Cody Wilson,cody.wilson@techosolutions.com,APAC,2022-01-03,generated,rep-mirror,0.99,2026-05-24T20:07:05.076764+00:00,2024-05-24,
82c60ba9-4612-4d10-95f0-292888b1fa0a,USR-87471b18,1176ded6-7d75-4249-a65a-3550b4c1bcf5,bda2d4e6-b9d3-45c5-a9d8-51aa37ef8f80,Stephanie Dillon MD,stephanie.md@techosolutions.com,Central,2019-06-13,generated,rep-mirror,0.99,2026-05-24T20:07:05.076772+00:00,2024-05-24,
27fc4122-4f40-4959-9066-fd2b7b42d607,USR-d2c384c1,c2ed1692-9eb6-42d7-9dde-320655d3fcb3,63293700-3ac6-4921-8af2-d467c94e287a,Marie Flores,marie.flores@techosolutions.com,West,2022-06-01,generated,rep-mirror,0.99,2026-05-24T20:07:05.076779+00:00,2024-05-24,
4e90424e-feeb-4e89-99e8-0110c1e5e7e9,USR-7f3ae53d,1176ded6-7d75-4249-a65a-3550b4c1bcf5,f385bcfe-6ea8-475a-bc10-49f1ad02cbee,John Gonzalez,john.gonzalez@techosolutions.com,East,2022-11-03,generated,rep-mirror,0.99,2026-05-24T20:07:05.076787+00:00,2024-05-24,
64d84b17-7633-491c-b748-a54f74305543,USR-ed7d7474,c2ed1692-9eb6-42d7-9dde-320655d3fcb3,f385bcfe-6ea8-475a-bc10-49f1ad02cbee,Bradley Lowe MD,bradley.md@techosolutions.com,Central,2020-03-11,generated,rep-mirror,0.99,2026-05-24T20:07:05.076794+00:00,2024-05-24,
3137ba7c-39f8-4d67-99d6-ed87d4bdc9be,USR-2e0048a5,1176ded6-7d75-4249-a65a-3550b4c1bcf5,bda2d4e6-b9d3-45c5-a9d8-51aa37ef8f80,Shane Mitchell,shane.mitchell@techosolutions.com,EMEA,2022-01-08,generated,rep-mirror,0.99,2026-05-24T20:07:05.076802+00:00,2024-05-24,
1048d067-e1e1-4c7e-850b-63bb3bdbb062,USR-a5754b11,beb1a1af-83b9-486c-9926-d9b32bc4e4f0,bda2d4e6-b9d3-45c5-a9d8-51aa37ef8f80,Anna Chambers,anna.chambers@techosolutions.com,EMEA,2021-10-07,generated,rep-mirror,0.99,2026-05-24T20:07:05.076809+00:00,2024-05-24,
246fc381-091c-48d8-9156-595f56d32203,USR-2f1fc9c6,1176ded6-7d75-4249-a65a-3550b4c1bcf5,3c6aab70-950d-4e36-98b6-3775b2e001d8,Alyssa Buckley,alyssa.buckley@techosolutions.com,EMEA,2021-08-16,generated,rep-mirror,0.99,2026-05-24T20:07:05.076820+00:00,2024-05-24,
572c5229-581e-447c-9afc-a6798813934a,USR-70828046,beb1a1af-83b9-486c-9926-d9b32bc4e4f0,63293700-3ac6-4921-8af2-d467c94e287a,James Howard,james.howard@techosolutions.com,Central,2019-08-17,generated,rep-mirror,0.99,2026-05-24T20:07:05.076827+00:00,2024-05-24,
