id,team_id,name,email,region,hire_date
d446139e-1ade-41f0-b434-bfe1859dccfe,f6ea832b-2a78-4770-95dc-7437967da9ec,Zachary Bailey,zachary.bailey@meridiancloud.com,West,2022-04-24
e6e3da5c-10ac-46fc-bbd8-7e5378e7d631,dac0364e-73db-4aab-b565-bba5b3e99c36,Lisa Cook,lisa.cook@meridiancloud.com,EMEA,2021-05-09
29452830-c830-41dc-bde2-225c35008a56,49407eb0-8bc5-4eda-9dad-2e6a1996bdde,Robin Flores,robin.flores@meridiancloud.com,Central,2020-07-23
ec847390-1f72-4f2c-aece-d6c8a794b9e6,9f1ef326-fb54-42d3-93ef-56099ffdc2e1,Jason Turner,jason.turner@meridiancloud.com,APAC,2022-01-03
e86a69d9-3595-4c07-9821-248f968e091d,dac0364e-73db-4aab-b565-bba5b3e99c36,Daniel Young,daniel.young@meridiancloud.com,Central,2019-06-13
645d5f16-eab8-4b66-b614-b170c42fcd94,8d176bbc-5ad9-426a-bdce-0d13e88c9945,Monique Wilcox,monique.wilcox@meridiancloud.com,West,2022-06-01
9895fd25-57cb-467c-b4fe-dab4d011b85f,f6ea832b-2a78-4770-95dc-7437967da9ec,Melissa Matthews,melissa.matthews@meridiancloud.com,East,2022-11-03
0a6236fc-5bf0-447d-92fd-4eaca555dad6,f6ea832b-2a78-4770-95dc-7437967da9ec,Karen James,karen.james@meridiancloud.com,Central,2020-03-11
fc933254-1509-4dc5-9dbf-67455f3bd728,dac0364e-73db-4aab-b565-bba5b3e99c36,Pamela Edwards MD,pamela.md@meridiancloud.com,EMEA,2022-01-08
0cbf9a48-fbf3-4c51-b5ec-ac820e68f0b5,dac0364e-73db-4aab-b565-bba5b3e99c36,Crystal Clark,crystal.clark@meridiancloud.com,EMEA,2021-10-07
564f69a7-9964-449d-a1ae-4e07a409b8a6,49407eb0-8bc5-4eda-9dad-2e6a1996bdde,James Allen,james.allen@meridiancloud.com,EMEA,2021-08-16
a3b7910e-fd2c-4344-a297-b8c11b639e56,8d176bbc-5ad9-426a-bdce-0d13e88c9945,Roberto Hernandez,roberto.hernandez@meridiancloud.com,Central,2019-08-17
f61e3218-5e2d-439b-8b66-aad1cb7e037e,8d176bbc-5ad9-426a-bdce-0d13e88c9945,Brett Smith,brett.smith@meridiancloud.com,EMEA,2022-06-01
2f57768e-edff-4eae-9153-eaeca2be9514,8d176bbc-5ad9-426a-bdce-0d13e88c9945,Alyssa Taylor,alyssa.taylor@meridiancloud.com,Central,2020-05-05
